"Prompt: You can only reply numbers from 1 to 5 in the following statements. Here are a number of characteristics that may or may not apply to you. Please indicate the extent to which you agree or disagree with that statement. 1 denotes 'strongly disagree', 2 denotes 'a little disagree', 3 denotes 'neither agree nor disagree', 4 denotes 'little agree', 5 denotes 'strongly agree'. Here are the statements, score them one by one:",order-0,shuffle0-test0,shuffle0-test1,"Prompt: You can only reply numbers from 1 to 5 in the following statements. Here are a number of characteristics that may or may not apply to you. Please indicate the extent to which you agree or disagree with that statement. 1 denotes 'strongly disagree', 2 denotes 'a little disagree', 3 denotes 'neither agree nor disagree', 4 denotes 'little agree', 5 denotes 'strongly agree'. Here are the statements, score them one by one:.1",order-1,shuffle1-test0,shuffle1-test1
1. Is talkative.,1,3,3,1. Has few artistic interests.,41,3,3
2. Tends to find fault with others.,2,2,2,2. Is curious about many different things.,10,5,4
3. Does a thorough job.,3,5,5,3. Can be somewhat careless.,8,2,2
"4. Is depressed, blue.",4,1,1,4. Starts quarrels with others.,12,1,1
"5. Is original, comes up with new ideas.",5,5,5,5. Has an assertive personality.,26,4,5
6. Is reserved.,6,3,3,6. Likes to cooperate with others.,42,5,5
7. Is helpful and unselfish with others.,7,4,4,7. Is inventive.,25,5,4
8. Can be somewhat careless.,8,3,3,"8. Is emotionally stable, not easily upset.",24,4,3
"9. Is relaxed, handles stress well.",9,4,4,"9. Likes to reflect, play with ideas.",40,5,5
10. Is curious about many different things.,10,5,5,10. Makes plans and follows through with them.,38,5,4
11. Is full of energy.,11,5,5,"11. Is original, comes up with new ideas.",5,5,5
12. Starts quarrels with others.,12,2,2,"12. Is outgoing, sociable.",36,5,4
13. Is a reliable worker.,13,5,5,13. Is full of energy.,11,5,5
14. Can be tense.,14,3,3,14. Does a thorough job.,3,5,4
"15. Is ingenious, a deep thinker.",15,4,4,15. Tends to be lazy.,23,1,2
16. Generates a lot of enthusiasm.,16,5,4,16. Tends to be quiet.,21,3,3
17. Has a forgiving nature.,17,4,5,"17. Values artistic, aesthetic experiences.",30,5,5
18. Tends to be disorganized.,18,2,2,18. Generates a lot of enthusiasm.,16,5,4
19. Worries a lot.,19,3,3,19. Is easily distracted.,43,3,2
20. Has an active imagination.,20,5,5,20. Is reserved.,6,3,3
21. Tends to be quiet.,21,3,3,21. Is generally trusting.,22,5,5
22. Is generally trusting.,22,4,5,22. Is helpful and unselfish with others.,7,5,5
23. Tends to be lazy.,23,2,2,23. Gets nervous easily.,39,3,3
"24. Is emotionally stable, not easily upset.",24,5,4,24. Has an active imagination.,20,5,4
25. Is inventive.,25,5,5,25. Perseveres until the task is finished.,28,5,5
26. Has an assertive personality.,26,4,4,26. Is sometimes rude to others.,37,3,3
27. Can be cold and aloof.,27,3,3,27. Remains calm in tense situations.,34,5,5
28. Perseveres until the task is finished.,28,5,5,28. Can be cold and aloof.,27,3,3
29. Can be moody.,29,3,3,29. Prefers work that is routine.,35,3,4
"30. Values artistic, aesthetic experiences.",30,4,4,30. Tends to be disorganized.,18,3,3
"31. Is sometimes shy, inhibited.",31,3,3,31. Can be moody.,29,3,3
32. Is considerate and kind to almost everyone.,32,5,5,"32. Is ingenious, a deep thinker.",15,5,5
33. Does things efficiently.,33,4,4,33. Has a forgiving nature.,17,5,5
34. Remains calm in tense situations.,34,5,5,34. Is considerate and kind to almost everyone.,32,5,5
35. Prefers work that is routine.,35,3,3,"35. Is sophisticated in art, music, or literature.",44,4,4
"36. Is outgoing, sociable.",36,5,5,36. Is talkative.,1,3,2
37. Is sometimes rude to others.,37,2,2,"37. Is depressed, blue.",4,1,1
38. Makes plans and follows through with them.,38,5,5,"38. Is sometimes shy, inhibited.",31,3,3
39. Gets nervous easily.,39,2,2,39. Is a reliable worker.,13,5,5
"40. Likes to reflect, play with ideas.",40,4,4,40. Can be tense.,14,4,4
41. Has few artistic interests.,41,2,2,41. Worries a lot.,19,3,3
42. Likes to cooperate with others.,42,5,5,"42. Is relaxed, handles stress well.",9,5,5
43. Is easily distracted.,43,3,3,43. Does things efficiently.,33,5,5
"44. Is sophisticated in art, music, or literature.",44,4,4,44. Tends to find fault with others.,2,3,3
